,ALLL3,AMBV4,BRML3,B3SA3,BRPR3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,BISA3,CCRO3,CMIG4,CESP6,CTIP3,HGTX3,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,DASA3,DXCO3,ECOR3,ELET3,ELET6,ELPL4,EMBR3,ENBR3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,HYPE3,ITSA4,ITUB4,JBSS3,KLBN4,LIGT3,PRML3,RENT3,LAME4,LREN3,MRFG3,MMXM3,MRVE3,NATU3,OGXP3,OIBR4,PCAR4,PDGR3,PETR3,PETR4,RSID3,SBSP3,SANB11,CSNA3,CRUZ3,VIVT4,TIMS3,UGPA3,USIM5,VALE3,VALE5
2012-10-22,9.22,81.09,16.471229553222656,3.0003292560577397,6.972080230712891,8.024,12.166497230529783,12.036944389343262,8.071682929992676,35.04841232299805,3.8,12.567217826843262,4.275604248046875,9.948,20.97,31.941,7.594472408294678,1.627,6.168162822723389,13.741403579711914,12.166375160217283,13.02093505859375,7.459749698638916,11.712729454040527,6.915980339050293,9.38,15.71,13.254953384399414,6.872618198394775,16.098833084106445,209.421630859375,13.292580604553224,15.594247817993164,10.800000190734863,13.322098731994627,3.0064244270324707,8.865778923034668,5.3128767013549805,1.6461856365203855,16.269468307495117,25.525421142578125,7.446415424346924,4.646,10.209155082702637,8.714978218078613,639.9163818359375,6.352712154388428,22.7,509.0,71.42826080322266,91.46,1679.0584716796875,11.593795776367188,10.310656547546388,117.11507415771484,22.066200256347656,7.508102893829346,7.03328800201416,24.98,26.297,5.682894706726074,18.13534927368164,8.687417984008789,21.03788185119629,28.44
2012-10-23,9.38,80.77,16.04598045349121,2.9085965156555176,6.813004016876221,7.949,11.763717651367188,11.665762901306152,7.947067737579346,35.04841232299805,3.75,12.435220718383787,4.209917068481445,9.661,20.41,31.941,7.213300228118896,1.627,6.05883264541626,13.683300971984863,11.95555591583252,12.928586959838867,7.454440593719482,11.578869819641112,6.875535488128662,9.286,15.7,13.45083999633789,6.989575386047363,15.917016983032228,193.09385681152344,13.20431137084961,15.304216384887695,10.75,13.243499755859377,2.9102182388305664,8.584853172302246,5.041415691375732,1.61306893825531,15.864392280578612,25.32982444763184,7.469878196716309,4.588,10.13782024383545,7.817297458648682,620.4341430664062,6.115225791931152,22.59,502.0,71.16851806640625,92.03,1633.678466796875,11.366464614868164,10.041885375976562,117.11507415771484,21.38563346862793,7.352761268615723,6.905960559844971,24.47,26.072,5.552517890930176,18.096704483032227,8.53530502319336,20.445831298828125,27.75
2012-10-24,9.11,80.09,15.252188682556152,2.8727989196777344,6.497334003448486,7.997,11.639145851135254,11.549108505249023,7.78846549987793,35.42127227783203,3.73,12.469962120056152,4.204880714416504,9.449,20.02,32.088,7.430424690246582,1.609,6.0131425857543945,13.62519359588623,11.812742233276367,13.3903226852417,7.247372627258301,11.73280906677246,6.713758945465088,9.065,15.12,13.245628356933594,6.800216197967529,15.247612953186035,189.54432678222656,13.35142993927002,15.459344863891602,10.420000076293944,12.889815330505373,3.044220447540283,8.935254096984863,5.010391712188721,1.6241077184677124,16.15899658203125,25.232027053833008,7.318432331085205,4.56,10.034934043884276,7.690127849578857,594.9573974609375,6.018074989318848,22.53,463.0,71.0819320678711,91.2,1601.9124755859375,11.250276565551758,9.981643676757812,114.4029312133789,21.594646453857425,7.311337471008301,6.790761947631836,24.0,25.781,5.330110549926758,18.586156845092773,8.40854263305664,20.302133560180664,27.54
2012-10-25,9.12,80.04,15.30888843536377,2.951106309890747,6.489875793457031,8.209,12.32844066619873,11.771810531616213,7.862102031707764,35.43992233276367,3.63,12.567217826843262,4.159411430358887,9.83,20.42,32.126,7.63950777053833,1.599,6.037620067596436,13.723973274230955,11.935153007507324,12.96552562713623,7.332323551177978,11.779658317565918,6.725314617156982,9.116,14.96,13.180330276489258,6.972865581512451,14.95836067199707,178.1858673095703,13.277873039245604,15.43911075592041,10.479999542236328,12.59900951385498,3.085449695587158,9.06212329864502,5.080195426940918,1.5965100526809692,16.298933029174805,25.03642845153809,7.294969081878662,4.416,9.877174377441406,7.600359916687012,612.9409790039062,5.947909355163574,22.29,475.0,72.12089538574219,87.73,1624.6024169921875,11.376568794250488,10.078957557678224,114.64949035644533,21.39328384399414,7.37864875793457,6.875646114349365,23.65,25.997,5.322441577911377,18.50458335876465,8.53530502319336,21.44599723815918,29.08
2012-10-26,8.97,79.95,15.195488929748535,2.971243381500244,6.559473514556885,8.113,12.241240501403809,11.549108505249023,7.879096031188965,35.14162826538086,3.54,12.511639595031738,4.129086017608643,9.881,19.64,32.827,7.816422939300537,1.572,6.220379829406738,13.671679496765137,11.69713020324707,12.74389362335205,7.491606712341309,11.712729454040527,6.655981540679932,8.988,14.7,13.217641830444336,6.928311347961426,14.62779140472412,180.3155670166016,12.92477321624756,15.007437705993652,10.15999984741211,12.26890468597412,3.044220447540283,8.93826961517334,5.157755374908447,1.5647732019424438,16.276836395263672,24.058443069458008,7.354695320129394,4.527,9.877174377441406,7.884623527526855,602.4505615234375,5.672642230987549,22.23,452.0,71.68799591064453,88.32,1579.2225341796875,11.563485145568848,10.310656547546388,111.9373550415039,21.57935333251953,7.24920129776001,6.711940288543701,23.46,26.006,5.307102680206299,18.195453643798828,8.197272300720215,21.28504943847656,28.88
2012-10-29,9.02,81.35,15.025388717651367,2.948869466781616,6.532131671905518,8.113,12.2910737991333,11.607434272766112,7.578885078430176,34.927242279052734,3.49,12.643632888793944,4.139194965362549,9.635,19.87,32.282,7.961171627044678,1.572,6.233432769775391,13.753021240234377,11.76513671875,12.596136093139648,7.433202266693115,11.779658317565918,6.413315296173096,8.792,14.74,13.226970672607422,7.11767053604126,,176.05615234375,13.160173416137695,15.364923477172852,10.100000381469728,12.50469207763672,3.0510916709899902,8.941298484802246,5.150000095367432,1.589610934257507,16.262107849121094,,7.324831485748291,4.523,9.960857391357422,8.004316329956055,587.4642333984375,5.726615905761719,22.29,,71.60140991210938,89.24,1547.45654296875,11.16439437866211,9.893595695495604,108.73210144042967,21.99738311767578,7.161177158355713,6.772572040557861,23.97,26.185,5.383795261383057,18.56898307800293,8.366289138793945,21.423004150390625,28.99
2012-10-30,9.26,80.91,15.444968223571776,2.957818984985352,6.5768723487854,8.161,12.411487579345703,11.618035316467283,7.63552713394165,34.62895202636719,3.58,12.74783706665039,4.181295871734619,9.618,20.41,32.71,8.258707046508789,1.544,6.346027374267578,13.741403579711914,11.76513671875,12.374506950378418,7.433202266693115,11.813125610351562,6.442203998565674,8.826,14.58,13.376215934753418,7.056406497955322,,183.86509704589844,13.233731269836426,15.493069648742676,10.1899995803833,12.654027938842772,3.0820152759552,9.050041198730469,5.165511608123779,1.6213477849960327,16.409406661987305,,7.444279193878174,4.49,9.98692226409912,7.9369893074035645,587.4642333984375,5.6996283531188965,22.19,,72.29405975341797,88.9,1565.6085205078125,11.265430450439451,9.977008819580078,108.9786605834961,22.43069839477539,7.161177158355713,6.924150943756104,23.62,26.569,5.598534107208252,18.61191749572754,8.493049621582031,21.52646827697754,29.21
2012-10-31,9.16,80.71,15.138790130615234,2.9085965156555176,6.611670017242432,8.113,12.18310832977295,11.490777969360352,7.601542949676514,34.442527770996094,3.53,12.40743350982666,4.092040061950684,9.356,20.16,33.294,8.081793785095215,1.526,6.355817794799805,13.712349891662598,11.71073055267334,12.466852188110352,7.502225875854492,11.873360633850098,6.442203998565674,8.894,14.46,13.245628356933594,7.07311487197876,14.247633934020996,176.7660675048828,13.0571870803833,15.351428985595703,10.149999618530272,12.693323135375977,3.057962417602539,8.965462684631348,5.095707416534424,1.6461856365203855,16.092708587646484,22.200271606445312,7.593592643737793,4.519,10.316160202026367,7.854701995849609,602.4505615234375,5.55929708480835,22.27,471.0,70.47587585449219,88.99,1551.9945068359375,10.861289024353027,9.638727188110352,105.28028869628906,21.915817260742188,7.223311901092529,6.808950424194336,23.35,26.673,5.521839618682861,18.289913177490234,8.290231704711914,21.52646827697754,29.2
2012-11-01,9.62,80.71,15.26919651031494,3.0204668045043945,6.499818801879883,8.394,12.739483833312988,12.243744850158691,8.043360710144043,34.4891357421875,3.6,12.42827606201172,4.196456909179688,9.348,20.34,34.56,8.371291160583496,1.552,6.502678871154785,13.88665771484375,12.003159523010254,12.60537338256836,7.640271186828613,11.779658317565918,6.690646648406982,9.26,15.04,13.245628356933594,7.262474060058594,14.89224624633789,175.3462371826172,13.219021797180176,15.675188064575195,10.09000015258789,12.787641525268556,3.195399761199951,9.368927001953123,5.343899726867676,1.67102313041687,16.608264923095703,22.68926429748535,7.785569190979004,4.601,10.563093185424805,8.004316329956055,609.9437255859375,5.721218109130859,22.61,487.0,71.0819320678711,87.84,1583.760498046875,10.937066078186035,9.661898612976074,104.78717041015624,21.920913696289062,7.518457889556885,6.972655773162842,23.35,26.926,5.713571071624756,18.332843780517575,8.695869445800781,22.06678581237793,29.86
2012-11-05,9.54,81.28,15.22950553894043,2.953345537185669,6.574387550354004,8.387,12.697020530700684,11.899078369140623,7.986717224121094,34.95520782470703,3.51,12.574163436889648,4.07689380645752,8.823,20.07,34.053,8.491912841796875,1.544,6.494520664215088,13.497365951538086,12.0711669921875,12.8362398147583,7.619032859802246,11.946983337402344,6.378648281097412,8.494,14.7,13.310922622680664,7.011852264404297,14.925305366516112,179.6056671142578,13.299939155578612,15.43911075592041,10.550000190734863,12.811217308044434,3.1816563606262207,9.35986328125,5.188780307769775,1.706900119781494,16.416772842407227,22.78706359863281,7.710912227630615,4.654,10.501357078552246,7.854701995849609,620.4341430664062,5.748205184936523,22.81,471.0,71.3416748046875,87.94,1565.6085205078125,11.113877296447754,9.842622756958008,103.80094146728516,22.1579647064209,7.389007091522217,6.912023544311523,24.01,26.56,5.813271522521973,18.204044342041016,8.678970336914062,21.8713493347168,29.68
2012-11-06,9.57,81.3,15.082091331481934,3.092061996459961,6.375539779663086,8.51,12.790441513061523,12.196020126342772,8.230283737182617,35.04841232299805,3.64,12.574163436889648,4.06678581237793,8.865,20.16,34.287,8.644702911376953,1.539,6.4047722816467285,13.514799118041992,12.397598266601562,13.02093505859375,7.672125816345215,12.013915061950684,6.297759532928467,8.452,14.59,13.54412078857422,7.017420768737793,15.56991958618164,184.5749969482422,13.792800903320312,16.11360740661621,10.760000228881836,12.944832801818848,3.2125792503356934,9.447503089904783,5.289608955383301,1.7206990718841553,16.571439743041992,23.96064567565918,7.806898593902588,4.72,10.617961883544922,8.318502426147461,645.9109497070312,5.931717395782471,22.7,500.0,71.9477310180664,87.94,1651.8304443359375,11.336155891418455,10.04651927947998,111.4442367553711,21.91071891784668,7.456322193145752,7.172741889953613,24.85,27.367,6.035678863525391,18.418710708618164,9.27052402496338,21.97481346130371,29.89
2012-11-07,9.37,80.71,14.87230396270752,3.069687843322754,6.261202335357666,8.325,12.637567520141602,11.904379844665527,8.269936561584473,34.936561584472656,3.55,12.74783706665039,4.00616979598999,8.823,20.27,34.024,8.700993537902832,1.51,6.282388210296631,13.450885772705078,12.295586585998535,12.882413864135742,7.640271186828613,12.02060604095459,6.078204154968262,8.137,13.96,13.497480392456056,7.006282329559326,15.44595432281494,184.5749969482422,13.432350158691406,15.654952049255373,10.800000190734863,12.638306617736816,3.1335549354553223,9.211772918701172,5.196535587310791,1.724838376045227,16.424137115478516,23.27605438232422,7.802628517150879,4.679,10.580924987792969,8.288580894470215,612.9409790039062,5.937113285064697,22.47,478.0,71.42826080322266,88.08,1592.8365478515625,11.058310508728027,9.814818382263184,108.23898315429688,21.752683639526367,7.300981044769287,6.912023544311523,24.68,27.602,6.051016807556152,18.56898307800293,9.126861572265623,21.74489402770996,29.57
2012-11-08,9.32,79.64,14.798593521118164,2.9801933765411377,6.189119338989258,8.161,12.272367477416992,11.374115943908691,8.23594856262207,34.62895202636719,3.43,12.74783706665039,3.831028938293457,9.001,20.8,33.995,8.774975776672363,1.47,6.424354076385498,13.247523307800291,12.20718002319336,12.928586959838867,7.619032859802246,11.980449676513672,5.951094150543213,7.796,13.26,13.198988914489746,6.961728096008301,15.396369934082031,178.1858673095703,13.314650535583496,15.614481925964355,10.380000114440918,12.300339698791504,3.06827163696289,9.00626277923584,5.150000095367432,1.6779223680496216,16.24001121520996,23.86284637451172,7.508270263671875,4.695,10.563093185424805,8.22873592376709,593.458740234375,5.683436870574951,22.76,477.0,72.46720886230469,86.19,1551.9945068359375,10.740046501159668,9.55068016052246,105.28028869628906,21.35249900817871,7.212954044342041,6.73619270324707,24.6,27.677,5.951316356658936,18.903867721557617,9.211368560791016,21.256311416625977,28.97
2012-11-09,9.0,78.53,14.764575004577637,2.964531421661377,6.176692008972168,8.154,12.255382537841797,11.10898780822754,7.845109462738037,34.10695266723633,3.34,12.900673866271973,3.952277660369873,8.806,20.75,32.428,8.689738273620605,1.416,6.45698881149292,12.986061096191406,12.173178672790527,13.15945529937744,7.555321216583252,12.067460060119627,5.812427520751953,7.584,12.86,13.18966007232666,6.956158638000488,15.7021484375,178.1858673095703,13.336716651916504,15.493069648742676,10.399999618530272,12.040973663330078,3.057962417602539,9.01230239868164,5.095707416534424,1.67654287815094,16.276836395263672,23.47165298461914,7.5807952880859375,4.646,10.563093185424805,8.004316329956055,593.458740234375,5.748205184936523,22.72,485.0,70.56246185302734,86.79,1506.6146240234375,10.830978393554688,9.629460334777832,104.29405212402344,21.36014747619629,7.24920129776001,6.699812889099121,24.11,27.893,5.905302047729492,18.740720748901367,9.008548736572266,21.44024658203125,29.18
2012-11-12,8.83,78.71,14.798593521118164,2.9466323852539062,5.9927592277526855,8.107,12.229902267456056,11.013538360595703,7.913082122802734,33.92985534667969,3.37,12.74783706665039,3.920284986495972,8.239,20.85,32.088,8.717079162597656,1.344,6.383558750152588,12.933767318725586,11.907951354980469,12.827006340026855,7.5924859046936035,11.846590995788574,5.644873142242432,7.49,12.71,13.245628356933594,6.777937412261963,15.958338737487791,179.6056671142578,13.344072341918944,15.587502479553224,10.210000038146973,11.985956192016602,3.06827163696289,9.00626277923584,5.05692720413208,1.6779223680496216,15.466679573059082,22.9826602935791,7.352560520172119,4.679,10.534281730651855,8.124006271362305,599.4533081054688,5.5808868408203125,22.61,490.0,71.0819320678711,87.48,1465.7725830078125,10.64406394958496,9.471904754638672,102.81470489501952,21.117992401123047,7.275091171264648,6.602802276611328,24.79,28.306,6.074024677276611,19.10565757751465,9.126861572265623,21.267805099487305,28.94
2012-11-13,8.95,79.94,15.388269424438477,2.92202091217041,6.288543701171875,8.277,12.255382537841797,11.236249923706056,7.958396911621094,35.14162826538086,3.39,12.852046012878418,3.9404842853546143,8.468,21.09,32.749,8.765325546264648,1.414,6.435776233673096,12.93957805633545,11.75153636932373,12.143637657165527,7.581866264343262,11.987707138061523,5.714205265045166,7.609,12.99,13.198988914489746,6.9450201988220215,16.883939743041992,190.96414184570312,13.344073295593262,15.51978588104248,10.100000381469728,12.025253295898438,3.1301162242889404,9.172479629516602,5.064683437347412,1.6455849409103394,15.098423957824709,22.3958683013916,7.69811201095581,4.707,10.425907135009766,7.974392414093018,599.4533081054688,5.877743244171143,22.61,478.0,71.86115264892578,88.55,1483.924560546875,10.664271354675291,9.485804557800291,102.32158660888672,21.30916404724121,7.404541015625,6.548233985900879,24.98,28.418,6.14304780960083,18.822296142578125,9.093057632446287,21.41725349426269,29.16
2012-11-14,8.53,79.26,15.592387199401855,2.866086959838867,6.166749954223633,8.202,12.043058395385742,11.220340728759766,7.646857738494873,35.12299346923828,3.26,12.921517372131348,3.881553649902344,8.366,20.11,32.126,8.73155403137207,1.374,6.412930965423584,12.672300338745115,11.350297927856444,11.82042407989502,7.491606712341309,11.95374870300293,5.477317810058594,7.226,12.55,13.00309944152832,6.794646739959717,15.90049171447754,183.15516662597656,12.996997833251951,15.15413761138916,10.1899995803833,11.514376640319824,3.0717074871063232,9.045552253723145,4.909563064575195,1.5955504179000854,15.76128101348877,21.320083618164062,7.572264194488525,4.732,10.29558277130127,7.892106056213379,573.9765014648438,5.553899765014648,22.86,460.0,70.99535369873047,86.88,1424.9306640625,10.305596351623535,9.175328254699709,99.1163330078125,21.53857421875,7.212954044342041,6.2875165939331055,24.9,28.418,6.150717258453369,18.676315307617188,9.084606170654297,21.032135009765625,28.62
